Bin#,Source,Item,SKU,Base Price,COGS,Date Listed,Year Month Listed,Platform Sold,Gross Sales,Platform Fee,Shipping,Gross Profit,Net Profit,Date Sold,Year Month Sold,Age of Listing
3,Garage Sale,Paper Crane Boho Racer Back Tank S,B0056,$1.00 ,$1.00 ,7/24/2020,20207,,,,,,,,,760
4,Garage Sale,Nine West Jeans Plaid Long Sleeve Tunic Top S,B0057,$1.00 ,$1.00 ,7/24/2020,20207,,,,,,,,,760
3,Garage Sale,Banana Republic V-Neck Sleeveless Blouse XS,B0058,$2.00 ,$2.00 ,7/24/2020,20207,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$10.00 ,7/15/2021,20217,356
7,Garage Sale,Express The Portofino Shirt Coral Button Up Blouse S,B0059,$2.00 ,$2.00 ,7/25/2020,20207,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$14.00 ,7/12/2021,20217,352
4,Garage Sale,Charlotte Russe Floral Kimono Duster Sleeveless M,B0063,$2.00 ,$2.00 ,7/18/2020,20207,,,,,,,,,766
10-Sep,Garage Sale,apana Floral Mesh High Waisted Capri Legging XS,B0064,$3.00 ,$3.00 ,7/9/2020,20207,,,,,,,,,775
12-Nov,Garage Sale,AEO Purple Long Sleeve Sweater Dress S,B0065,$3.00 ,$3.00 ,6/23/2020,20206,,,,,,,,,791
14,Goodwill Austin Hwy,Tory Burch Bag Large Travel Nylon Messenger Diaper Bag,B0066,$14.99 ,$16.23 ,6/28/2020,20206,,,,,,,,,786
,Goodwill Austin Hwy,Harley-Davidson Pullover Sweatshirt 1/4 Zip S,B0067,$4.79 ,$5.19 ,7/24/2020,20207,Facebook,$28.00 ,$1.48 ,$5.66 ,$20.86 ,$15.67 ,2/16/2021,20212,207
6,Goodwill Austin Hwy,Lucky Brand Aztec Waterfall Cardigan M Southwestern,B0068,$4.79 ,$5.19 ,7/26/2020,20207,Poshmark,$30.00 ,$6.00 ,$2.46 ,$21.54 ,$16.35 ,11/18/2021,202111,480
6,Goodwill Austin Hwy,Madewell Striped Button Down S,B0069,$4.79 ,$5.19 ,7/27/2020,20207,,,,,,,,,757
6,Goodwill Austin Hwy,Top Shop Animal Print Top Button Down 6,B0070,$4.79 ,$5.19 ,7/27/2020,20207,,,,,,,,,757
WEARING,Goodwill Austin Hwy,Ann Taylor LOFT Maxi Dress 0,B0071,$6.49 ,$7.03 ,WEARING,,,,,,,,,,
12-Nov,Goodwill Austin Hwy,Lulu's Multitask Queen Shift Dress XS,B0073,$6.49 ,$7.03 ,8/13/2020,20208,,,,,,,,,740
,Goodwill Austin Hwy,Moral Fiber Top Plus Size NWT 2X,B0075,$4.79 ,$5.19 ,8/13/2020,20208,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$6.81 ,7/5/2021,20217,326
5,Goodwill Austin Hwy,J. Crew Lace Sweater M,B0076,$2.40 ,$2.59 ,8/13/2020,20208,Poshmark,$22.00 ,$4.40 ,$7.45 ,$10.15 ,$7.56 ,9/17/2021,20219,400
5,Goodwill Austin Hwy,Isla Fitness Threads Seashell Tank S,B0077,$4.79 ,$5.19 ,8/13/2020,20208,,,,,,,,,740
12-Nov,Goodwill Austin Hwy,Anthropologie Maeve Whitewick Manor Corduroy Dress 4,B0078,$6.49 ,$7.03 ,7/17/2020,20207,Poshmark,$42.00 ,$8.40 ,$0.00 ,$33.60 ,$26.57 ,11/15/2021,202111,486
,Goodwill Austin Hwy,Soludos Pineapple Espadrilles Shoes 9,B0080,$9.99 ,$10.81 ,6/29/2020,20206,Poshmark,$23.00 ,$4.60 ,$0.00 ,$18.40 ,$7.59 ,2/6/2021,20212,222
2,Goodwill Cibolo,Umgee Pink Long Sleeve Wrap Top Blouse S,B0082,$2.40 ,$2.59 ,8/5/2020,20208,,,,,,,,,748
12-Nov,Goodwill NW Loop 410,Lumiere Tiered Hem Dress Houndstooth High Low L,B0084,$6.49 ,$7.03 ,7/17/2020,20207,,,,,,,,,767
3,Goodwill NW Loop 410,Monteau Floral Boho Bell Sleeve Blouse M,B0085,$4.79 ,$5.19 ,7/18/2020,20207,,,,,,,,,766
,Goodwill NW Loop 410,asos NWT Red Midi Long Sleeve Dress 2,B0086,$6.49 ,$7.03 ,7/25/2020,20207,Poshmark,$25.00 ,$5.00 ,$7.45 ,$12.55 ,$5.52 ,10/6/2021,202110,438
N/A,Goodwill Cibolo,DV Target Perforated Ankle Bootie Faux Suede Tan 6.5,B0089,$6.99 ,$7.57 ,8/17/2020,20208,,,,,,,,,736
,Goodwill Cibolo,Band of Gypsies NWT Floral Wrap Dress M,B0090,$12.99 ,$14.06 ,7/28/2020,20207,Poshmark,$30.00 ,$6.00 ,$0.00 ,$24.00 ,$9.94 ,10/20/2021,202110,449
,Goodwill Cibolo,LUSH Oversize Utility Blouse M,B0093,$4.79 ,$5.19 ,8/5/2020,20208,Poshmark,$21.67 ,$4.33 ,$2.48 ,$14.85 ,$9.66 ,5/30/2021,20215,298
6,Goodwill Cibolo,Eden & Olivia Anthro Bird Print 100% Cotton Blouse L,B0094,$4.79 ,$5.19 ,8/6/2020,20208,Poshmark,$28.00 ,$5.60 ,$7.45 ,$14.95 ,$9.76 ,10/4/2021,202110,424
,Goodwill N Loop 1604,Zara Trafaluc Long Sleeve T Shirt M,B0098,$2.40 ,$2.59 ,8/3/2020,20208,Poshmark,$18.00 ,$3.60 ,$2.46 ,$11.94 ,$9.35 ,7/7/2021,20217,338
,Goodwill N Loop 1604,White Birch Striped Blouse Long Sleeve Open Back M,B0100,$4.79 ,$5.19 ,8/3/2020,20208,,,,,,,,,750
2,Goodwill N Loop 1604,Lucky Brand Floral Short Sleeve Blouse Ruffle XS,B0101,$4.79 ,$5.19 ,8/5/2020,20208,,,,,,,,,748
6,Goodwill N Loop 1604,Know Your Worth Graphic T Shirt Burnout S,B0102,$2.99 ,$3.24 ,8/13/2020,20208,,,,,,,,,740
,Goodwill N Loop 1604,CEJON Boho Fringe Kimono One Size,B0103,$4.79 ,$5.19 ,7/31/2020,20207,Poshmark,$25.00 ,$5.00 ,$0.00 ,$20.00 ,$14.81 ,1/5/2021,20211,158
5,Goodwill N Loop 1604,41 Hawthorn Stitch Fix Floral Blouse M,B0104,$4.79 ,$5.19 ,8/6/2020,20208,,,,,,,,,747
12-Nov,Goodwill N Loop 1604,Topshop Peplum Scuba Dress Royal Blue 2,B0107,$6.49 ,$7.03 ,9/18/2020,20209,,,,,,,,,704
,Goodwill N Loop 1604,Monteau Floral Dress Ruffle Cap Sleeve M,B0108,$6.49 ,$7.03 ,7/31/2020,20207,,,,,,,,,753
5,Goodwill N Loop 1604,Postage Stamp Anthro Blouse S,B0109,$4.79 ,$5.19 ,8/13/2020,20208,,,,,,,,,740
6,Goodwill N Loop 1604,Fig and Flower Boho Gypsy Blouse S,B0110,$4.79 ,$5.19 ,8/6/2020,20208,,,,,,,,,747
WEARING,Goodwill N Loop 1604,Fabletics Black High Waist Legging 7/8,B0114,$4.79 ,$5.19 ,WEARING,,,,,,,,,,
Hanging,Goodwill N Loop 1604,Lulu's Flutter Sleeve Chiffon Gown NWT XL,B0115,$6.49 ,$7.03 ,8/12/2020,20208,Poshmark,$58.00 ,$11.60 ,$2.46 ,$43.94 ,$36.91 ,7/16/2021,20217,338
6,Goodwill N Loop 1604,Free People Moonlight Mile Print Penny Georgette S,B0117,$4.79 ,$5.19 ,7/30/2020,20207,,,,,,,,,754
5,Texas Thrift Store,Lux LA Floral Boho Long Sleeve Blouse S,B0119,$1.99 ,$2.15 ,7/28/2020,20207,,,,,,,,,756
5,Texas Thrift Store,Pink Rose Floral Boho Tassel Tank M,B0120,$1.49 ,$1.61 ,7/28/2020,20207,,,,,,,,,756
10-Sep,Texas Thrift Store,Zella High Waist Legging Cut Out Ankle XS,B0121,$4.98 ,$5.39 ,8/18/2020,20208,,,,,,,,,735
10-Sep,Texas Thrift Store,Fabletics Colorblock Heather Pink Gray Legging Small Salar Statement 7/8 Cherry/Charcoal/Rosebloom Heather,B0124,$5.98 ,$6.47 ,8/18/2020,20208,Poshmark,$17.00 ,$3.40 ,$0.00 ,$13.60 ,$7.13 ,10/31/2021,202110,439
6,Texas Thrift Store,AEO Floral Crop Boho Blouse M,B0125,$4.98 ,$5.39 ,8/2/2020,20208,,,,,,,,,751
5,Texas Thrift Store,Cupcakes and Cashmere Anthro Jantel Floral Blouse Bell Sleeve Boho S,B0126,$4.98 ,$5.39 ,8/12/2020,20208,,,,,,,,,741
,Texas Thrift Store,Meraki Floral Wrap Peplum Blouse L,B0127,$4.98 ,$5.39 ,8/1/2020,20208,Poshmark,$19.00 ,$3.80 ,$0.00 ,$15.20 ,$9.81 ,3/26/2021,20213,237
2,Texas Thrift Store,Lucky Brand Popover Blouse S,B0128,$4.98 ,$5.39 ,8/13/2020,20208,,,,,,,,,740
4,Texas Thrift Store,Southern Stitch Aztec Southwestern Kimono Duster L/XL,B0129,$4.98 ,$5.39 ,8/8/2020,20208,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$6.61 ,9/17/2021,20219,405
,Texas Thrift Store,Maurice's Floral Boho Blouse L,B0131,$3.49 ,$3.77 ,8/1/2020,20208,Facebook,$15.00 ,$0.90 ,$3.58 ,$10.52 ,$6.75 ,2/18/2021,20212,201
5,Texas Thrift Store,Skies Are Blue Stitch Fix Long Sleeve Blouse M,B0133,$3.49 ,$3.77 ,7/28/2020,20207,,,,,,,,,756
,Texas Thrift Store,Neon Rainbow Burnout Semi Sheer Graphic Muscle Tank M,B0135,$2.09 ,$2.26 ,7/29/2020,20207,Poshmark,$14.00 ,$2.95 ,$2.12 ,$8.93 ,$6.67 ,1/3/2021,20211,158
5,Texas Thrift Store,Kut from the Kloth Floral Button Down Sheer S,B0136,$3.49 ,$3.77 ,8/13/2020,20208,,,,,,,,,740
,Texas Thrift Store,Express Split Back Solid Tank Semi Sheer M,B0137,$2.79 ,$3.02 ,8/12/2020,20208,Poshmark,$16.00 ,$3.20 ,$0.00 ,$12.80 ,$9.78 ,4/3/2021,20214,234
7,Texas Thrift Store,The Limited Striped Tank Blouse M,B0138,$2.09 ,$2.26 ,8/8/2020,20208,,,,,,,,,745
6,Texas Thrift Store,Meraki Animal Print Blouse S,B0139,$4.19 ,$4.53 ,7/29/2020,20207,,,,,,,,,755
WEARING,Texas Thrift Store,Spiritual Gangster Maya Floral Kimono Robe OS,B0140,$4.98 ,$5.39 ,WEARING,,,,,,,,,,
6,Texas Thrift Store,Kut from the Kloth Floral Button Down Sheer M,B0141,$4.98 ,$5.39 ,7/29/2020,20207,,,,,,,,,755
5,Texas Thrift Store,Ann Taylor LOFT Striped Tank XS,B0142,$3.98 ,$4.31 ,8/8/2020,20208,,,,,,,,,745
2,Texas Thrift Store,Umgee Patchwork Boho Floral Blouse S,B0143,$6.98 ,$7.56 ,7/29/2020,20207,,,,,,,,,755
7,Texas Thrift Store,Cabi Purple Eva Peplum Blouse 731 M,B0144,$4.98 ,$5.39 ,7/29/2020,20207,,,,,,,,,755
6,Texas Thrift Store,Lavender Fields Striped Tie Front Crop Boho Top S,B0145,$4.98 ,$5.39 ,7/30/2020,20207,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$6.61 ,7/18/2021,20217,353
6,Texas Thrift Store,Zara Basic Peplum Bell Sleeve Polka Dot Top XS,B0146,$4.98 ,$5.39 ,7/30/2020,20207,,,,,,,,,754
7,Texas Thrift Store,Cabi Flaunt Wrap Blouse 3077 M,B0147,$4.98 ,$5.39 ,7/30/2020,20207,,,,,,,,,754
10-Sep,Texas Thrift Store,Alo Yoga Space Dye Teal Air Brush Capri Crop Legging,B0148,$4.98 ,$5.39 ,8/18/2020,20208,,,,,,,,,735
7,Texas Thrift Store,Zara Woman White Bell Sleeve Blouse M,B0149,$5.98 ,$6.47 ,8/13/2020,20208,,,,,,,,,740
5,Texas Thrift Store,Cloth & Stone Anthropologie Split Back Fray Chambray Top M,B0150,$4.98 ,$5.39 ,8/10/2020,20208,,,,,,,,,743
5,Texas Thrift Store,Meraki Floral Boho Blouse S,B0151,$3.98 ,$4.31 ,8/13/2020,20208,,,,,,,,,740
5,Texas Thrift Store,Meraki Floral Kimono Cardigan M,B0152,$5.98 ,$6.47 ,8/13/2020,20208,,,,,,,,,740
5,Texas Thrift Store,Pleione NWT Surplice Roll Sleeve High/Low Blouse S,B0155,$3.98 ,$4.31 ,8/12/2020,20208,,,,,,,,,741
N/A,Goodwill Austin Hwy,Lucky Brand Suede Leather Moccasins Loafers 7.5,B0156,$6.99 ,$7.57 ,8/17/2020,20208,,,,,,,,,736
,Goodwill Austin Hwy,Pleione Short Sleeve V-Neck Blouse M,B0158,$0.00 ,$0.00 ,9/18/2020,20209,Poshmark,$17.00 ,$3.40 ,$0.00 ,$13.60 ,$13.60 ,1/20/2021,20211,124
12-Nov,Goodwill Austin Hwy,Anthropologie Pins & Needles Polka Dot Floral Dress S,B0159,$7.99 ,$8.65 ,8/10/2020,20208,,,,,,,,,743
,Goodwill Austin Hwy,Zara Pleated Flowing Polka Dot Dress S,B0160,$7.99 ,$8.65 ,8/1/2020,20208,Poshmark,$28.00 ,$5.60 ,$2.46 ,$19.94 ,$11.29 ,2/20/2021,20212,203
,Goodwill Austin Hwy,346 Brooks Brothers Black Sheath Dress 10,B0161,$7.99 ,$8.65 ,8/5/2020,20208,Poshmark,$23.00 ,$4.60 ,$0.00 ,$18.40 ,$9.75 ,10/22/2021,202110,443
,Goodwill Austin Hwy,HD in Paris Anthro Plaid Andaz Empire Lined Midi Dress 2P,B0162,$7.99 ,$8.65 ,8/1/2020,20208,Poshmark,$60.00 ,$12.00 ,$2.12 ,$45.88 ,$37.23 ,1/2/2021,20211,154
Hanging,Goodwill Austin Hwy,Elie Tahari NWT Anetta Jacket Blazer Lovely in Pink Small,B0164,$7.99 ,$8.65 ,8/12/2020,20208,,,,,,,,,741
,Goodwill Austin Hwy,Zara Plaid Square Textured Dress S,B0166,$7.99 ,$8.65 ,8/6/2020,20208,Poshmark,$28.00 ,$5.60 ,$2.46 ,$19.94 ,$11.29 ,2/20/2021,20212,198
,Goodwill Austin Hwy,Floreat Manor Gates Anthropologie Dress 6,B0168,$7.99 ,$8.65 ,8/8/2020,20208,Poshmark,$50.00 ,$10.00 ,$0.00 ,$40.00 ,$31.35 ,3/11/2021,20213,215
14,Goodwill N Loop 1604,Betsey Johnson Floral Crossbody Purse,B0170,$5.00 ,$5.41 ,8/17/2020,20208,,,,,,,,,736
6,Goodwill N Loop 1604,AEO Semi Sheer Floral Blouse S,B0172,$2.40 ,$2.60 ,9/18/2020,20209,,,,,,,,,704
,Goodwill N Loop 1604,Zara Short Sleeve Mustard Gold Knit Top M,B0173,$2.40 ,$2.60 ,8/18/2020,20208,Poshmark,$21.67 ,$4.33 ,$2.48 ,$14.85 ,$12.25 ,5/30/2021,20215,285
10-Sep,Goodwill Cibolo,Zumba Legging Ruched L,B0174,$4.79 ,$5.19 ,8/18/2020,20208,,,,,,,,,735
,Goodwill Cibolo,J. Crew Pleated Front Boho Blouse 2,B0176,$4.79 ,$5.19 ,9/18/2020,20209,Poshmark,$17.50 ,$3.50 ,$1.23 ,$12.77 ,$7.58 ,5/28/2021,20215,252
13,Goodwill Cibolo,Almost Famous Shortall Distressed Overall Shorts 1,B0177,$7.99 ,$8.65 ,8/18/2020,20208,,,,,,,,,735
6,Goodwill Cibolo,Express Black Open Back Top XS,B0182,$4.79 ,$5.19 ,9/18/2020,20209,,,,,,,,,704
,Goodwill Cibolo,Eden & Olivia Anthro Arrow 100% Cotton Blouse M,B0183,$2.40 ,$2.60 ,9/18/2020,20209,Poshmark,$28.00 ,$5.60 ,$2.46 ,$19.94 ,$17.34 ,6/1/2021,20216,256
12-Nov,Goodwill Cibolo,Karl Lagerfeld White Sleeveless Dot Sheath Dress 6,B0184,$6.50 ,$7.04 ,9/18/2020,20209,,,,,,,,,704
,Goodwill Cibolo,Pleione Anthro Paisley Blouse L,B0185,$2.40 ,$2.60 ,8/18/2020,20208,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$13.40 ,7/10/2021,20217,326
7,Goodwill Cibolo,Umbro Coral Pink Logo Hoodie S,B0186,$2.40 ,$2.60 ,9/18/2020,20209,,,,,,,,,704
,Goodwill Cibolo,Ann Taylor Sleeveless Blouse Floral 6,B0188,$2.40 ,$2.60 ,8/18/2020,20208,Poshmark,$25.00 ,$5.00 ,$0.00 ,$20.00 ,$17.40 ,7/10/2021,20217,326
6,Goodwill Cibolo,Lily White NWT Sheer Lace Floral Blouse XL,B0189,$2.40 ,$2.60 ,8/18/2020,20208,,,,,,,,,735
N/A,Goodwill Bins S ATX,Dolce Vita Payce Demi Wedge Slide Sandal 7,B0191,$1.17 ,$1.27 ,9/29/2020,20209,,,,,,,,,693
N/A,Goodwill Bins S ATX,Lucky Brand Emmie Metallic Bronze Flats 7.5,B0193,$1.17 ,$1.27 ,9/29/2020,20209,,,,,,,,,693
N/A,Goodwill Bins S ATX,American Rag Audrey Suede Platform Wedge 7,B0194,$1.17 ,$1.27 ,9/29/2020,20209,,,,,,,,,693
,Goodwill Bins S ATX,Viscata Sagaro Canvas Wedges Espadrilles 36 /5.5-6,B0195,$1.17 ,$1.27 ,9/29/2020,20209,Poshmark,$30.00 ,$6.00 ,$0.00 ,$24.00 ,$22.73 ,3/8/2021,20213,160
N/A,Goodwill Bins S ATX,Jeffrey Campbell Cap Toe Suede Color Block Pump 7.5,B0198,$1.17 ,$1.27 ,9/29/2020,20209,Poshmark,$30.00 ,$6.00 ,$0.00 ,$24.00 ,$22.73 ,11/9/2021,202111,406
,Goodwill Bins S ATX,Crocs Cap Toe Tortoise Flat 10,B0202,$1.17 ,$1.27 ,9/29/2020,20209,Poshmark,$30.00 ,$6.00 ,$0.00 ,$24.00 ,$22.73 ,7/7/2021,20217,281
,Goodwill Bins S ATX,DV by Dolce Vita Kaden Silver Sandals 6,B0203,$1.17 ,$1.27 ,9/29/2020,20209,Poshmark,$13.00 ,$2.95 ,$0.00 ,$10.05 ,$8.78 ,2/24/2021,20212,148
N/A,Goodwill Bins S ATX,AEO Strappy Leather Slide Sandal 10,B0204,$1.17 ,$1.27 ,9/29/2020,20209,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$10.73 ,7/18/2021,20217,292
N/A,Goodwill Bins S ATX,Kids Crocs Navy Clogs 6,B0205,$1.17 ,$1.27 ,10/17/2021,202110,,,,,,,,,310
N/A,Goodwill Bins S ATX,Kids Crocs Red Perforated Slip On 6,B0206,$1.17 ,$1.27 ,10/17/2021,202110,,,,,,,,,310
N/A,Goodwill Bins S ATX,Kids Crocs Red Perforated Slip On 6,B0207,$1.17 ,$1.27 ,10/17/2021,202110,,,,,,,,,310
14,Goodwill Bins S ATX,Ann Taylor LOFT Size 4 Black Pencil Skirt,B0209,$1.17 ,$1.27 ,10/17/2021,,,,,,,,,,310
12-Nov,Goodwill Bins S ATX,BCBGMaxAzria Dress 02,B0210,$1.17 ,$1.27 ,8/27/2020,,,,,,,,,,726
14,Goodwill Bins S ATX,Banana Republic Stretch Pencil Skirt 6,B0211,$1.17 ,$1.27 ,10/17/2021,,,,,,,,,,310
5,Goodwill Bins S ATX,Ann Taylor Green Blouse M,B0212,$1.17 ,$1.27 ,7/8/2021,,,,,,,,,,411
2,Goodwill Bins S ATX,Lucky Brand Floral Button Down Semi Sheer m,B0213,$1.17 ,$1.27 ,3/26/2021,,,,,,,,,,515
,Goodwill Bins S ATX,Victoria's Secret Racer Back XL,B0216,$1.17 ,$1.27 ,12/11/2020,,Poshmark,$8.00 ,$2.95 ,$0.00 ,$5.05 ,$3.78 ,7/4/2021,20217,205
,Goodwill Bins S ATX,BCBGMaxAzria Black Cardigan Wrap XS,B0217,$1.17 ,$1.27 ,8/27/2020,,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$14.73 ,1/13/2021,20211,139
2,Goodwill Bins S ATX,Banana Republic Tie Front Gold Speck Blazer 0,B0220,$1.17 ,$1.27 ,3/29/2021,,Poshmark,$21.00 ,$4.20 ,$2.46 ,$14.34 ,$13.07 ,11/13/2021,202111,229
12-Nov,Goodwill Bins S ATX,Billabong Dress S,B0221,$1.17 ,$1.27 ,12/11/2020,202012,,,,,,,,,620
12-Nov,Goodwill Bins S ATX,Altar'd State Purple Shirt Dress Tunic S,B0222,$1.17 ,$1.27 ,9/18/2020,20209,,,,,,,,,704
7,Goodwill Bins S ATX,Topshop Pink Blouse 6,B0223,$1.17 ,$1.27 ,9/18/2020,20209,,,,,,,,,704
3,Goodwill Bins S ATX,DAY Rolling Stones Graphic Crop T S,B0224,$1.17 ,$1.27 ,12/11/2020,202012,Poshmark,$22.00 ,$4.40 ,$2.46 ,$15.14 ,$13.87 ,7/24/2021,20217,225
,Goodwill Bins S ATX,Michael Stars Wrap Top OS,B0225,$1.17 ,$1.27 ,10/26/2020,202010,Poshmark,$28.00 ,$5.60 ,$2.46 ,$19.94 ,$18.67 ,2/18/2021,20212,115
6,Goodwill Bins S ATX,Pretty Fit Graphic Bulk Gear Crop T M,B0228,$1.17 ,$1.27 ,10/26/2020,202010,,,,,,,,,666
4,Goodwill Bins S ATX,Eileen Fisher Long Sleeve Top XS,B0229,$1.17 ,$1.27 ,12/11/2020,202012,,,,,,,,,620
,Goodwill Bins S ATX,Mondetta Eggplant Purple Athletic Tank Top,B0230,$1.17 ,$1.27 ,12/11/2020,202012,Poshmark,$28.00 ,$5.60 ,$0.00 ,$22.40 ,$21.13 ,6/8/2021,20216,179
7,Goodwill Bins S ATX,Banana Republic Long Cardigan Tunic XS,B0231,$1.17 ,$1.27 ,12/23/2020,202012,,,,,,,,,608
4,Goodwill Bins S ATX,Vince Double Layer Men's Full Zip Waffle Hoodie L,B0232,$1.17 ,$1.27 ,12/11/2020,202012,Poshmark,$78.00 ,$15.60 ,$0.00 ,$62.40 ,$61.13 ,12/23/2021,202112,377
,Goodwill Bins S ATX,Bershka ASOS Denim Cut Off High Waisted Shorts 2,B0233,$1.17 ,$1.27 ,3/12/2021,,Poshmark,$22.00 ,$4.40 ,$2.46 ,$15.14 ,$13.87 ,7/8/2021,20217,118
,Goodwill Bins S ATX,Banana Republic White Shift Dress 4,B0234,$1.17 ,$1.27 ,9/18/2020,20209,Poshmark,$18.00 ,$3.60 ,$0.00 ,$14.40 ,$13.13 ,7/7/2021,20217,292
6,Goodwill Bins S ATX,GAP Boho Blouse XS,B0235,$1.17 ,$1.27 ,10/26/2020,202010,,,,,,,,,666
6,Goodwill Bins S ATX,Nordstrom Treasure & Bond Men's Distressed T Shirt L,B0236,$1.17 ,$1.27 ,9/18/2020,20209,,,,,,,,,704
12-Nov,Goodwill Bins S ATX,Old Navy XXL Plus Size Striped Swing Dress,B0238,$1.17 ,$1.27 ,12/11/2020,202012,,,,,,,,,620
5,Goodwill Bins S ATX,Banana Republic Striped Cardigan S,B0239,$1.17 ,$1.27 ,12/11/2020,,,,,,,,,,620
,Goodwill Bins S ATX,Levi's Extra High Waist Mom Jeans Cut off Distress Shorts ,B0240,$1.17 ,$1.27 ,Repairing,,,,,,,,,,
,Goodwill Bins S ATX,89th & Madison Stitch Fix Black Straight Leg Stretch Pants M,B0241,$1.17 ,$1.27 ,3/16/2021,,Poshmark,$20.00 ,$4.00 ,$2.46 ,$13.54 ,$12.27 ,5/3/2021,20215,48
3,Goodwill Bins S ATX,Madewell Bedtime Pajama Shirt Ivory Rainbow Stripe M,B0242,$1.17 ,$1.27 ,12/11/2020,,,,,,,,,,620
13,Goodwill Bins S ATX,Pilcro and the Letterpress Anthro Slim Boyfriend Cuff Shorts 25,B0244,$0.00 ,$0.00 ,3/14/2021,20213,,,,,,,,,527
,Nordstrom Rack,Soludos Alma Espadrille Mule Pink 7.5 NWT,B0246,$8.74 ,$9.46 ,8/20/2020,20208,Poshmark,$35.00 ,$7.00 ,$0.00 ,$28.00 ,$18.54 ,1/9/2021,20211,142
,Nordstrom Rack,Soludos Alma Espadrille Mule Pink 6.5 NWT,B0247,$8.74 ,$9.46 ,8/20/2020,20208,Poshmark,$40.00 ,$8.00 ,$7.45 ,$24.55 ,$15.09 ,3/19/2021,20213,211
,Nordstrom Rack,Soludos Alma Espadrille Mule Pink 9 NWT,B0249,$8.74 ,$9.46 ,8/20/2020,20208,Poshmark,$40.00 ,$8.00 ,$0.00 ,$32.00 ,$22.54 ,4/7/2021,20214,230
N/A,Nordstrom Rack,Soludos Alma Espadrille Mule Marigold 8.5 NWT,B0250,$8.74 ,$9.46 ,8/20/2020,20208,,,,,,,,,733
N/A,Nordstrom Rack,Free People Ref Cherokee Moccasin 36 / 6 NWT,B0251,$14.99 ,$16.23 ,8/20/2020,20208,,,,,,,,,733
N/A,Nordstrom Rack,Free People Ref Cherokee Moccasin 38 / 8 NWT,B0252,$14.99 ,$16.23 ,8/20/2020,20208,,,,,,,,,733
N/A,Nordstrom Rack,Free People Ref Cherokee Moccasin 39 / 9 NWT,B0253,$14.99 ,$16.23 ,8/20/2020,20208,Poshmark,$54.00 ,$10.80 ,$7.45 ,$35.75 ,$19.52 ,10/7/2021,202110,413
N/A,Nordstrom Rack,Soludos Pride Smoking Slipper Espadrille 6 NWT,B0254,$7.87 ,$8.52 ,8/20/2020,20208,,,,,,,,,733
N/A,Nordstrom Rack,Soludos Pride Smoking Slipper Espadrille 7 NWT,B0255,$7.87 ,$8.52 ,8/20/2020,20208,,,,,,,,,733
N/A,Nordstrom Rack,Soludos Pride Smoking Slipper Espadrille 8 NWT,B0256,$7.87 ,$8.52 ,8/20/2020,20208,Poshmark,$48.00 ,$9.60 ,$7.45 ,$30.95 ,$22.43 ,7/30/2021,20217,344
N/A,Nordstrom Rack,Sorel Ella Slingback Waterproof Sandal Metallic 6 NWT,B0258,$9.62 ,$10.41 ,8/20/2020,20208,,,,,,,,,733
N/A,Nordstrom Rack,Eileen Fisher Wallis Wedge Espadrille 6 NWT,B0259,$17.49 ,$18.93 ,8/20/2020,20208,,,,,,,,,733
,Nordstrom Rack,Sam Edelman Everie Suede Flats 7 NWT,B0263,$8.74 ,$9.46 ,8/20/2020,20208,Poshmark,$30.00 ,$6.00 ,$0.00 ,$24.00 ,$14.54 ,3/28/2021,20213,220
,Nordstrom Rack,Sam Edelman Clara Flat Mule Leather Black NWT 10,B0265,$10.49 ,$11.36 ,8/20/2020,20208,Poshmark,$30.00 ,$6.00 ,$0.00 ,$24.00 ,$12.64 ,3/10/2021,20213,202
N/A,Nordstrom Rack,Madewell The Boardwalk Ankle-Strap Black Sandal NWT 6.5,B0267,$11.24 ,$12.17 ,8/20/2020,20208,Poshmark,$45.00 ,$9.00 ,$7.45 ,$28.55 ,$16.38 ,10/3/2021,202110,409
,Nordstrom Rack,Madewell The Boardwalk Woven Strap Sandal Leather True Black NWT 6,B0268,$11.24 ,$12.17 ,8/20/2020,20208,Poshmark,$43.00 ,$8.60 ,$7.45 ,$26.95 ,$14.78 ,6/5/2021,20216,289
,Nordstrom Rack,Madewell The Boardwalk Woven Strap Sandal Leather Silver NWT 7.5,B0270,$11.24 ,$12.17 ,8/20/2020,20208,Defective,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,3/19/2021,20213,211
6,Thrift City,Lucky Brand Dot Circle Racer Back Tank S,B0272,$4.00 ,$4.00 ,12/11/2020,202012,,,,,,,,,620
,Thrift City,LOFT Outlet Long Sleeve Maroon Blouse M,B0273,$5.00 ,$5.00 ,12/11/2020,202012,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$11.01 ,7/10/2021,20217,211
