Bin#,Source,Item,SKU,Base Price,COGS,Date Listed,Year Month Listed,Platform Sold,Gross Sales,Platform Fee,Shipping,Gross Profit,Net Profit,Date Sold,Year Month Sold,Age of Listing
,Thrift City Outlet,7FAM A Pocket Flare Jeans 29,A0344,$2.00 ,$2.17 ,1/13/2020,20201,Poshmark,$36.00 ,$7.20 ,$0.00 ,$28.80 ,$26.64 ,4/29/2021,20214,472
,Thrift City Outlet,Hollister Skinny Jeans Dark Wash Distressed Size 1S 25x30,A0347,$2.00 ,$2.17 ,1/14/2020,20201,Facebook,$18.00 ,$0.99 ,$5.42 ,$11.59 ,$9.43 ,3/19/2021,20213,430
,Texas Thrift Store,7FAM Pink A Pocket Cut Off Shorts Size 26,A0350,$4.98 ,$5.39 ,1/8/2020,20201,Poshmark,$25.00 ,$5.00 ,$7.45 ,$12.55 ,$7.16 ,7/4/2021,20217,543
,Texas Thrift Store,Joe's Provocateur Flare Jeans Dark Wash Size 27,A0351,$3.49 ,$3.78 ,1/12/2020,20201,Poshmark,$28.00 ,$5.60 ,$2.12 ,$20.28 ,$16.50 ,1/24/2021,20211,378
10-Sep,Texas Thrift Store,Paige Blue Heights Straight Leg Size 28,A0352,$3.49 ,$3.78 ,1/12/2020,20201,Poshmark,$18.00 ,$3.60 ,$2.46 ,$11.94 ,$8.16 ,10/25/2021,202110,652
1,Texas Thrift Store,Torrid Maroon & Black Lace Satin Blouse Size 00,A0353,$4.98 ,$5.39 ,1/10/2020,20201,Poshmark,$22.00 ,$4.40 ,$2.46 ,$15.14 ,$9.75 ,9/8/2021,20219,607
3,Texas Thrift Store,J. Jill Wearever Collection Red Waffle Tunic Dress Blouse,A0354,$5.98 ,$6.47 ,1/11/2020,20201,,,,,,,,,955
13,Texas Thrift Store,Hype Rolled Hem Denim Shorts Size 5,A0358,$0.99 ,$1.07 ,1/9/2020,20201,,,,,,,,,957
10-Sep,Texas Thrift Store,American Eagle Skinny Stretch Jeans Size 00 Short,A0363,$0.99 ,$1.07 ,1/13/2020,20201,,,,,,,,,953
,Goodwill Bins N ATX,American Flag Scarf,A0369,$0.84 ,$0.91 ,1/18/2020,20201,Poshmark,$10.00 ,$2.95 ,$0.00 ,$7.05 ,$6.14 ,3/28/2021,20213,435
12-Nov,Goodwill Bins N ATX,Maeve Anthropologie Bloomsbury tie dress 4,A0376,$0.84 ,$0.91 ,1/15/2020,20201,Poshmark,$42.00 ,$8.40 ,$0.00 ,$33.60 ,$32.69 ,12/3/2021,202112,688
,Goodwill Bins N ATX,Lumiere White Lace Sleeveless Dress S,A0378,$0.84 ,$0.91 ,1/15/2020,20201,Poshmark,$21.29 ,$4.26 ,$1.06 ,$15.96 ,$15.05 ,5/28/2021,20215,499
5,Goodwill Bins N ATX,Vintage Striped Chunky Knit Grandpa Sweater L,A0381,$0.84 ,$0.91 ,1/15/2020,20201,,,,,,,,,951
7,Goodwill Bins N ATX,The Limited Embellished T Shirt Sheer XS,A0383,$0.84 ,$0.91 ,1/15/2020,20201,,,,,,,,,951
2,Goodwill Bins N ATX,Lucky Brand Boho Hippie Gypsy V Neck Peasant M,A0385,$0.84 ,$0.91 ,1/15/2020,20201,,,,,,,,,951
7,Goodwill Bins N ATX,BCBGeneration Paisley Wrap Tie Crop Festival Hippie Boho XXS,A0395,$0.84 ,$0.91 ,1/16/2020,20201,,,,,,,,,950
14,Thrift City,Mark Cross Body Boho Hippie Brown Square Cut Out Purse,A0411,$2.00 ,$2.17 ,1/19/2020,20201,,,,,,,,,947
1,Thrift City,Umgee Floral Bell Sleeve Top Boho S,A0414,$2.00 ,$2.17 ,1/21/2020,20201,,,,,,,,,945
12-Nov,Thrift City,LuLaRoe Julia Aztec Dress XS NWT,A0417,$2.00 ,$2.17 ,1/21/2020,20201,,,,,,,,,945
,Thrift City,PrAna Monique Purple Mountain Sweater Organic Sustainable XL NWT,A0420,$2.00 ,$2.17 ,1/20/2020,20201,Poshmark,$39.00 ,$7.80 ,$7.45 ,$23.75 ,$21.59 ,3/21/2021,20213,426
WEARING,Goodwill Bins S ATX,Everly Sleeveless Printed Sun Dress Small,A0422,$0.91 ,$0.98 ,WEARING,,,,,,,,,,
12-Nov,Goodwill Bins S ATX,Calessa Boho Paisley Hippie Gypsy Maxi Dress S,A0432,$0.91 ,$0.98 ,1/29/2020,20201,,,,,,,,,937
1,Goodwill Bins S ATX,Merona Color Block Scoop Neck Pullover Knit Sweater M,A0434,$0.91 ,$0.98 ,1/28/2020,20201,,,,,,,,,938
1,Goodwill Bins S ATX,Express Aztec Tribal Sequin Multi Color Tank XS,A0438,$0.91 ,$0.98 ,1/28/2020,20201,,,,,,,,,938
1,Goodwill Bins S ATX,Pleione Chambray Peasant Tassel Top S,A0440,$0.91 ,$0.98 ,1/25/2020,20201,,,,,,,,,941
12-Nov,Goodwill Bins S ATX,Michael Kors Shift Dress Toggle 3/4 Sleeve M,A0441,$0.91 ,$0.98 ,1/29/2020,20201,,,,,,,,,937
12-Nov,Goodwill Bins S ATX,LuLaRoe Orange Pocket Fit and Flare T Dress XXS,A0446,$0.91 ,$0.98 ,1/30/2020,20201,,,,,,,,,936
