Source,Item,SKU,Base Price,COGS,Date Listed,Year Month Listed,Platform Sold,Gross Sales,Platform Fee,Shipping,Gross Profit,Net Profit,Date Sold,Year Month Sold,Age of Listing
Texas Thrift Store,J. Crew Grey V-Neck Cardigan,A0150,$0.99 ,$1.07 ,11/21/2019,201911,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$10.93 ,12/27/2019,201912,36
Texas Thrift Store,Band of Gypsies Sheer Plaid Shirt Boho,A0151,$0.99 ,$1.07 ,11/21/2019,201911,ThredUp,$0.00 ,$0.00 ,$0.00 ,($0.99),($1.07),12/6/2020,202012,381
Texas Thrift Store,J. Crew Elbow Sleeve Drapey tee Stripe,A0152,$0.99 ,$1.07 ,11/20/2019,201911,Poshmark,$12.00 ,$2.95 ,$0.00 ,$9.05 ,$7.98 ,4/21/2020,20204,153
Texas Thrift Store,Rare Eric Bompard horse/rabbit Printed Tee,A0153,$2.50 ,$2.71 ,11/20/2019,201911,,,,,,,,,1007
Texas Thrift Store,Urban Outfitters X Alternative Apparel Graphic Tee Donkey,A0154,$0.99 ,$1.07 ,11/20/2019,201911,,,,,,,,,1007
Texas Thrift Store,UO Coincidence & Chance black & cream sweater NWT,A0155,$3.50 ,$3.79 ,11/12/2019,201911,Poshmark,$26.00 ,$5.20 ,$0.00 ,$20.80 ,$17.01 ,11/14/2019,201911,2
Closet,Lucky Brand Orange Navy Cream Print Long Sleeve Top,A0156,$0.00 ,$0.00 ,2/1/2019,20192,,,,,,,,,1299
Closet,H&M Green and White Print Tank,A0157,$0.00 ,$0.00 ,2/1/2019,20192,ThredUp,$18.99 ,$16.29 ,$0.00 ,$2.70 ,$2.70 ,9/23/2020,20209,600
Closet,A'gaci Striped Top,A0158,$0.00 ,$0.00 ,9/15/2019,20199,Poshmark,$5.00 ,$1.00 ,$0.00 ,$4.00 ,$4.00 ,2/11/2020,20202,149
Garage Sale,Worthington Turtleneck Sweater,A0159,$2.00 ,$2.00 ,9/14/2019,20199,ThredUp,$0.00 ,$0.00 ,$0.00 ,$0.00 ,($2.00),8/14/2020,20208,335
Garage Sale,Old Navy Floral tunic,A0160,$0.10 ,$0.10 ,9/14/2019,20199,Poshmark,$10.00 ,$2.95 ,$0.00 ,$7.05 ,$6.95 ,3/24/2020,20203,192
Garage Sale,A'gaci soft gold tee with tie front,A0161,$2.00 ,$2.00 ,9/14/2019,20199,ThredUp,$0.00 ,$0.00 ,$0.00 ,$0.00 ,($2.00),8/14/2020,20208,335
Garage Sale,Hollister Semi Cropped Blouse,A0162,$2.00 ,$2.00 ,9/14/2019,20199,,,,,,,,,1074
Garage Sale,Haute Monde Gold Floral ruffle long sleeved top,A0163,$2.00 ,$2.00 ,9/14/2019,20199,Poshmark,$8.00 ,$2.95 ,$0.00 ,$5.05 ,$3.05 ,1/13/2020,20201,121
