Bin#,Source,SKU,Item,Base Price,COGS,Date Listed,Year Month Listed,Platform Sold,Gross Sales,Platform Fee,Shipping,Gross Profit,Net Profit,Date Sold,Year Month Sold,Age of Listing
7,Goodwill Cibolo,B0186,Umbro Coral Pink Logo Hoodie S,$2.40 ,$2.60 ,9/18/2020,20209,,,,,,,,,704
6,Goodwill Cibolo,B0189,Lily White NWT Sheer Lace Floral Blouse XL,$2.40 ,$2.60 ,8/18/2020,20208,,,,,,,,,735
N/A,Goodwill Bins S ATX,B0191,Dolce Vita Payce Demi Wedge Slide Sandal 7,$1.17 ,$1.27 ,9/29/2020,20209,,,,,,,,,693
N/A,Goodwill Bins S ATX,B0193,Lucky Brand Emmie Metallic Bronze Flats 7.5,$1.17 ,$1.27 ,9/29/2020,20209,,,,,,,,,693
N/A,Goodwill Bins S ATX,B0194,American Rag Audrey Suede Platform Wedge 7,$1.17 ,$1.27 ,9/29/2020,20209,,,,,,,,,693
N/A,Goodwill Bins S ATX,B0205,Kids Crocs Navy Clogs 6,$1.17 ,$1.27 ,10/17/2021,202110,,,,,,,,,310
N/A,Goodwill Bins S ATX,B0206,Kids Crocs Red Perforated Slip On 6,$1.17 ,$1.27 ,10/17/2021,202110,,,,,,,,,310
N/A,Goodwill Bins S ATX,B0207,Kids Crocs Red Perforated Slip On 6,$1.17 ,$1.27 ,10/17/2021,202110,Poshmark,$17.00 ,$3.40 ,$0.00 ,$13.60 ,$12.33 ,3/27/2022,20223,161
14,Goodwill Bins S ATX,B0209,Ann Taylor LOFT Size 4 Black Pencil Skirt,$1.17 ,$1.27 ,10/17/2021,,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$14.73 ,3/14/2022,20223,148
12-Nov,Goodwill Bins S ATX,B0210,BCBGMaxAzria Dress 02,$1.17 ,$1.27 ,8/27/2020,,,,,,,,,,726
14,Goodwill Bins S ATX,B0211,Banana Republic Stretch Pencil Skirt 6,$1.17 ,$1.27 ,10/17/2021,,,,,,,,,,310
5,Goodwill Bins S ATX,B0212,Ann Taylor Green Blouse M,$1.17 ,$1.27 ,7/8/2021,,Poshmark,$10.00 ,$2.95 ,$0.00 ,$7.05 ,$5.78 ,1/2/2022,20221,178
2,Goodwill Bins S ATX,B0213,Lucky Brand Floral Button Down Semi Sheer m,$1.17 ,$1.27 ,3/26/2021,,,,,,,,,,515
12-Nov,Goodwill Bins S ATX,B0221,Billabong Dress S,$1.17 ,$1.27 ,12/11/2020,202012,Poshmark,$23.00 ,$4.60 ,$0.00 ,$18.40 ,$17.13 ,4/12/2022,20224,487
12-Nov,Goodwill Bins S ATX,B0222,Altar'd State Purple Shirt Dress Tunic S,$1.17 ,$1.27 ,9/18/2020,20209,,,,,,,,,704
7,Goodwill Bins S ATX,B0223,Topshop Pink Blouse 6,$1.17 ,$1.27 ,9/18/2020,20209,,,,,,,,,704
6,Goodwill Bins S ATX,B0228,Pretty Fit Graphic Bulk Gear Crop T M,$1.17 ,$1.27 ,10/26/2020,202010,,,,,,,,,666
4,Goodwill Bins S ATX,B0229,Eileen Fisher Long Sleeve Top XS,$1.17 ,$1.27 ,12/11/2020,202012,Poshmark,$24.00 ,$4.80 ,$0.00 ,$19.20 ,$17.93 ,4/25/2022,20224,500
7,Goodwill Bins S ATX,B0231,Banana Republic Long Cardigan Tunic XS,$1.17 ,$1.27 ,12/23/2020,202012,Poshmark,$28.00 ,$5.60 ,$0.00 ,$22.40 ,$21.13 ,3/24/2022,20223,456
6,Goodwill Bins S ATX,B0235,GAP Boho Blouse XS,$1.17 ,$1.27 ,10/26/2020,202010,,,,,,,,,666
6,Goodwill Bins S ATX,B0236,Nordstrom Treasure & Bond Men's Distressed T Shirt L,$1.17 ,$1.27 ,9/18/2020,20209,,,,,,,,,704
12-Nov,Goodwill Bins S ATX,B0238,Old Navy XXL Plus Size Striped Swing Dress,$1.17 ,$1.27 ,12/11/2020,202012,,,,,,,,,620
5,Goodwill Bins S ATX,B0239,Banana Republic Striped Cardigan S,$1.17 ,$1.27 ,12/11/2020,,,,,,,,,,620
,Goodwill Bins S ATX,B0240,Levi's Extra High Waist Mom Jeans Cut off Distress Shorts ,$1.17 ,$1.27 ,Repairing,,,,,,,,,,
3,Goodwill Bins S ATX,B0242,Madewell Bedtime Pajama Shirt Ivory Rainbow Stripe M,$1.17 ,$1.27 ,12/11/2020,,,,,,,,,,620
13,Goodwill Bins S ATX,B0244,Pilcro and the Letterpress Anthro Slim Boyfriend Cuff Shorts 25,$0.00 ,$0.00 ,3/14/2021,20213,,,,,,,,,527
N/A,Nordstrom Rack,B0250,Soludos Alma Espadrille Mule Marigold 8.5 NWT,$8.74 ,$9.46 ,8/20/2020,20208,Poshmark,$32.00 ,$6.40 ,$1.72 ,$23.88 ,$14.42 ,6/28/2022,20226,677
N/A,Nordstrom Rack,B0251,Free People Ref Cherokee Moccasin 36 / 6 NWT,$14.99 ,$16.23 ,8/20/2020,20208,,,,,,,,,733
N/A,Nordstrom Rack,B0252,Free People Ref Cherokee Moccasin 38 / 8 NWT,$14.99 ,$16.23 ,8/20/2020,20208,,,,,,,,,733
N/A,Nordstrom Rack,B0254,Soludos Pride Smoking Slipper Espadrille 6 NWT,$7.87 ,$8.52 ,8/20/2020,20208,,,,,,,,,733
N/A,Nordstrom Rack,B0255,Soludos Pride Smoking Slipper Espadrille 7 NWT,$7.87 ,$8.52 ,8/20/2020,20208,,,,,,,,,733
N/A,Nordstrom Rack,B0258,Sorel Ella Slingback Waterproof Sandal Metallic 6 NWT,$9.62 ,$10.41 ,8/20/2020,20208,,,,,,,,,733
N/A,Nordstrom Rack,B0259,Eileen Fisher Wallis Wedge Espadrille 6 NWT,$17.49 ,$18.93 ,8/20/2020,20208,Poshmark,$70.00 ,$14.00 ,$0.00 ,$56.00 ,$37.07 ,8/20/2022,20228,730
6,Thrift City,B0272,Lucky Brand Dot Circle Racer Back Tank S,$4.00 ,$4.00 ,12/11/2020,202012,,,,,,,,,620
4,Thrift City,B0274,LRL Green Label Black and Gold Stripe Sweater L,$5.00 ,$5.00 ,12/11/2020,202012,,,,,,,,,620
10-Sep,Thrift City,B0276,COH Ava Low Rise Straight Leg 24,$7.39 ,$8.39 ,3/14/2021,20213,,,,,,,,,527
7,Thrift City,B0280,J. Crew Sequin Stripe Tank NWT S,$5.00 ,$5.00 ,12/11/2020,202012,,,,,,,,,620
2,Thrift City,B0281,Lucky Brand Racer Back Tank S,$3.00 ,$3.00 ,9/18/2020,20209,Poshmark,$21.25 ,$4.25 ,$0.00 ,$17.00 ,$14.01 ,3/20/2022,20223,548
3,Thrift City,B0282,Cabi Sweet Talk Red Striped Peplum Top 3631 S,$4.00 ,$4.00 ,9/18/2020,20209,,,,,,,,,704
6,Thrift City,B0284,Gypsies & Moondust Floral Hoodie M,$1.50 ,$1.50 ,9/18/2020,20209,Poshmark,$17.50 ,$3.50 ,$1.34 ,$12.66 ,$11.17 ,3/13/2022,20223,541
6,Thrift City,B0285,Talbots Striped tres chic embroidered Top SP,$4.00 ,$4.00 ,12/11/2020,,Poshmark,$13.00 ,$2.95 ,$0.00 ,$10.05 ,$6.06 ,5/8/2022,20225,513
6,Thrift City,B0288,J. Crew Collector Tees Frenchie Graphic T NWOT XS,$4.00 ,$4.00 ,9/18/2020,20209,Poshmark,$27.00 ,$5.40 ,$0.00 ,$21.60 ,$17.61 ,5/27/2022,20225,616
6,Thrift City,B0289,J. Crew Paisley Sleeveless Blouse NWOT 8,$4.00 ,$4.00 ,9/18/2020,20209,Poshmark,$25.00 ,$5.00 ,$0.00 ,$20.00 ,$16.01 ,2/4/2022,20222,504
3,Thrift City,B0290,Alya Franchesca's Collections Tunic Fringe Blouse L,$1.50 ,$1.50 ,12/11/2020,202012,,,,,,,,,620
6,Thrift City,B0291,J. Crew NWT Charcoal Sequin Cardigan S,$5.00 ,$5.00 ,10/26/2020,202010,,,,,,,,,666
6,Thrift City,B0292,J. Crew Beige Sequin Cardigan S,$4.00 ,$4.00 ,9/18/2020,20209,,,,,,,,,704
6,Thrift City,B0293,Halogen Sleeveless Blouse Ruffle Neckline L,$4.00 ,$4.00 ,9/18/2020,20209,,,,,,,,,704
6,Texas Thrift Store,B0294,Eden & Olivia Floral Blouse L,$3.49 ,$3.49 ,12/23/2020,202012,,,,,,,,,608
2,Texas Thrift Store,B0295,Lucky Brand Floral Long Sleeve Blouse Semi Sheer M,$4.89 ,$4.89 ,12/11/2020,202012,,,,,,,,,620
6,Texas Thrift Store,B0296,Eden & Olivia Floral Blouse XL,$2.79 ,$2.79 ,12/23/2020,202012,Poshmark,$19.00 ,$3.80 ,$0.00 ,$15.20 ,$12.41 ,6/2/2022,20226,526
6,Texas Thrift Store,B0297,BCBGMaxazria Long Sleeve Button Down Blouse PXL,$2.09 ,$2.09 ,12/23/2020,202012,,,,,,,,,608
3,Texas Thrift Store,B0298,Love Riche Long Bell Sleeve Avery Wine Color Blouse NWT L,$2.99 ,$2.99 ,3/26/2021,20213,,,,,,,,,515
6,Texas Thrift Store,B0299,LRL Green Label Ruffle Floral Blouse PM,$2.49 ,$2.49 ,10/26/2020,202010,,,,,,,,,666
6,Texas Thrift Store,B0300,Ann Taylor Green Dot Blouse M,$2.49 ,$2.49 ,10/26/2020,202010,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$13.51 ,5/17/2022,20225,568
3,Texas Thrift Store,B0301,Blu Pepper Vintage Embroidered Bell Sleeve Boho Blouse M,$2.49 ,$2.49 ,3/26/2021,20213,,,,,,,,,515
7,Texas Thrift Store,B0302,Eden & Olivia Floral Semi Sheer Blouse M,$2.49 ,$2.49 ,12/23/2020,202012,,,,,,,,,608
7,Texas Thrift Store,B0303,Umgee Green Boho Lace Blouse,$1.99 ,$1.99 ,12/23/2020,202012,,,,,,,,,608
6,Texas Thrift Store,B0304,The Limited Bow Blouse L,$3.49 ,$3.49 ,12/23/2020,202012,,,,,,,,,608
3,Texas Thrift Store,B0305,Altar'd State Boho Embroidered Long Sleeve Blouse L,$2.49 ,$2.49 ,3/26/2021,20213,,,,,,,,,515
7,Texas Thrift Store,B0307,Meraki Paisley Boho Blouse M,$1.99 ,$1.99 ,12/23/2020,202012,Poshmark,$24.00 ,$4.80 ,$1.28 ,$17.92 ,$15.93 ,4/28/2022,20224,491
6,Texas Thrift Store,B0308,Ann Taylor Black Sleeveless Ruffle Tank M,$2.09 ,$2.09 ,12/23/2020,202012,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$9.91 ,1/2/2022,20221,375
3,Texas Thrift Store,B0310,RO&DE Embroidered Tunic Blouse L,$3.49 ,$3.49 ,3/26/2021,20213,,,,,,,,,515
5,Texas Thrift Store,B0311,Lush Ruffle Blouse Tank Black L,$2.09 ,$2.09 ,12/11/2020,202012,,,,,,,,,620
6,Texas Thrift Store,B0313,LRL Green Label Silk Paisley Blouse PL,$3.49 ,$3.49 ,12/23/2020,202012,,,,,,,,,608
N/A,Texas Thrift Store,B0318,Seychelles Topaz Suede Wedge 7,$4.19 ,$4.19 ,9/29/2020,20209,Poshmark,$32.00 ,$6.40 ,$0.00 ,$25.60 ,$21.41 ,6/27/2022,20226,636
n/a,Texas Thrift Store,B0319,Altar'd State Beaded Sandal 6,$3.49 ,$3.49 ,9/29/2020,20209,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$12.51 ,8/1/2022,20228,671
N/A,Texas Thrift Store,B0322,Lucky Brand Mindra Wedge 9,$3.49 ,$3.49 ,9/29/2020,20209,Poshmark,$28.00 ,$5.60 ,$0.00 ,$22.40 ,$18.91 ,2/25/2022,20222,514
7,Goodwill Derby KS,B0325,LC Lauren Conrad Bow Print Top S,$3.99 ,$4.31 ,12/11/2020,202012,,,,,,,,,620
10-Sep,Goodwill Derby KS,B0327,Kut from the Kloth Lauren Crop Straight Leg Jeans 2,$3.99 ,$4.31 ,3/17/2021,20213,,,,,,,,,524
7,Goodwill Derby KS,B0330,Ann Taylor LOFT Animal Leopard Print Top L Petite,$3.99 ,$4.31 ,12/23/2020,202012,Poshmark,$21.00 ,$4.20 ,$2.46 ,$14.34 ,$10.03 ,1/31/2022,20221,404
3,Goodwill Derby KS,B0331,Ann Taylor LOFT Ruffle Front Top M Petite,$2.99 ,$3.23 ,12/23/2020,202012,,,,,,,,,608
4,Goodwill Derby KS,B0332,Hollister Racer Back Tank Boho S,$2.99 ,$3.23 ,12/23/2020,202012,,,,,,,,,608
7,Goodwill Derby KS,B0333,Maurice's NWT Boho Tunic Top S,$2.99 ,$3.23 ,12/23/2020,202012,,,,,,,,,608
N/A,Goodwill Cibolo,B0336,You're the Best Procelian Mug,$1.09 ,$1.18 ,3/14/2021,20213,,,,,,,,,527
7,Goodwill Cibolo,B0337,Adrianna Papell Striped Blouse 1X,$5.00 ,$5.41 ,12/23/2020,202012,,,,,,,,,608
,Goodwill Cibolo,B0339,GAP The Modern Tee Wide Neck Top M,$4.79 ,$5.19 ,Donated,,Donated,,,,,,5/23/2022,20225,
12-Nov,Garage Sale,B0342,Max Studio Lace Dress S,$1.00 ,$1.00 ,12/23/2020,202012,Poshmark,$23.00 ,$4.60 ,$0.00 ,$18.40 ,$17.40 ,5/13/2022,20225,506
5,Garage Sale,B0343,Sheer Lace Top,$1.00 ,$1.00 ,12/23/2020,202012,,,,,,,,,608
7,Garage Sale,B0344,Gimmicks BKE lace boho top XS,$1.00 ,$1.00 ,12/23/2020,202012,,,,,,,,,608
