Bin#,Source,SKU,Item,Base Price,COGS,Date Listed,Year Month Listed,Platform Sold,Gross Sales,Platform Fee,Shipping,Gross Profit,Net Profit,Date Sold,Year Month Sold,Age of Listing
WEARING,Thrift City Outlet,A0226,american eagle wrap blouse with bell sleeves,$2.00 ,$2.17 ,WEARING,,,,,,,,,,
2,Thrift City Outlet,A0231,Lucky Brand Floral Boho Peasant Top Cream Blue Floral,$2.00 ,$2.17 ,12/4/2019,201912,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$13.84 ,1/19/2022,20221,777
,Thrift City Outlet,A0232,American Eagle Floral Ruffle Strappy Tank Pink Grey,$2.00 ,$2.17 ,12/4/2019,201912,,,,,,,,,993
5,Closet,A0237,Ann Taylor Loft Colorful Striped Boatneck Top XS,$0.00 ,$0.00 ,12/6/2020,202012,,,,,,,,,625
10-Sep,Thrift City Outlet,A0239,American Eagle Favorite Boyfriend Stretch Jeans,$2.00 ,$2.17 ,12/5/2019,201912,Poshmark,$27.00 ,$5.40 ,$0.00 ,$21.60 ,$19.44 ,7/22/2022,20227,960
10-Sep,Thrift City Outlet,A0241,Kate Spade Saturday Two Toned Skinny Jeans,$2.00 ,$2.17 ,12/5/2019,201912,,,,,,,,,992
,Texas Thrift Store,A0242,Marc by Marc Jacobs black knit top,$2.50 ,$2.71 ,12/4/2019,201912,Poshmark,$18.33 ,$3.67 ,$0.00 ,$14.67 ,$11.96 ,5/4/2022,20225,882
1,Texas Thrift Store,A0244,Pebble and Stone Anthropologie Heather Grey Sweater Wide Sleeves,$4.00 ,$4.33 ,12/4/2019,201912,,,,,,,,,993
1,Texas Thrift Store,A0245,J. Crew Pink Purple Floral Sweatshirt,$4.00 ,$4.33 ,12/4/2019,201912,Poshmark,$27.00 ,$5.40 ,$1.72 ,$19.88 ,$15.55 ,4/2/2022,20224,850
10-Sep,Texas Thrift Store,A0249,Lauren Conrad Jeans Dark Wash,$0.99 ,$1.07 ,12/5/2019,201912,,,,,,,,,992
10-Sep,Texas Thrift Store,A0250,7FAM A Pocket Flare Jeans 27,$0.99 ,$1.07 ,12/5/2019,201912,Poshmark,$25.00 ,$5.00 ,$0.00 ,$20.00 ,$18.93 ,7/22/2022,20227,960
10-Sep,Texas Thrift Store,A0251,Rock & Republic Midrise Skinny Jeans Floral Design,$0.99 ,$1.07 ,12/5/2019,201912,Poshmark,$18.33 ,$3.66 ,$0.00 ,$14.67 ,$13.60 ,5/4/2022,20225,881
3,Texas Thrift Store,A0254,J. Crew white teal navy print top long sleeve,$0.99 ,$1.07 ,12/4/2019,201912,,,,,,,,,993
1,Texas Thrift Store,A0276,Altar'd State Grey White Lace Knit Sweater,$1.99 ,$2.15 ,12/9/2019,201912,,,,,,,,,988
10-Sep,Salvation Army,A0278,American Eagle Skinny Stretch Jeans,$3.50 ,$3.78 ,12/8/2019,201912,,,,,,,,,989
7,Salvation Army,A0281,The Limited Printed Blouse,$1.50 ,$1.62 ,12/9/2019,201912,,,,,,,,,988
1,Salvation Army,A0282,Ann Taylor White Anchor Nautical Sweater ,$3.50 ,$3.78 ,12/9/2019,201912,,,,,,,,,988
10-Sep,Closet,A0285,LulaRoe Legging aztec boho tribal print one size,$0.00 ,$0.00 ,12/6/2019,201912,,,,,,,,,991
10-Sep,Closet,A0287,LulaRoe Legging aztec boho tribal print one size,$0.00 ,$0.00 ,12/6/2019,201912,,,,,,,,,991
10-Sep,Closet,A0289,LulaRoe Legging aztec boho tribal print one size,$0.00 ,$0.00 ,12/6/2019,201912,,,,,,,,,991
7,Thrift City Outlet,A0291,Gianni Bini dolman sleeve colorblock blouse,$2.00 ,$2.17 ,12/19/2019,201912,,,,,,,,,978
2,Thrift City Outlet,A0293,Lucky Brand | Paisley Print Top Boho Hippie Gypsy S,$2.00 ,$2.17 ,4/3/2021,20214,,,,,,,,,507
1,Thrift City Outlet,A0296,Cloth & Stone Anthropologie button down soft denim,$2.00 ,$2.17 ,12/22/2019,201912,,,,,,,,,975
7,Thrift City Outlet,A0298,Michael Michael Kors Lime Green Loose Fit Blouse,$2.00 ,$2.17 ,12/22/2019,201912,,,,,,,,,975
1,Thrift City Outlet,A0299,Maeve by Anthropologie Pink & White Stripe Top,$2.00 ,$2.17 ,12/23/2019,201912,,,,,,,,,974
1,Thrift City Outlet,A0303,Kaii Los Angeles Summer Tie Front Blouse,$2.00 ,$2.17 ,12/23/2019,201912,,,,,,,,,974
1,Thrift City Outlet,A0306,Francesca's miami long sleeved keyhole scoop neck stripe,$2.00 ,$2.17 ,12/26/2019,201912,,,,,,,,,971
N/A,Thrift City,A0316,BASS Congac Ankle Booties Slip On Heel Pointed Toe Absolute Leather,$7.57 ,$8.19 ,1/6/2020,20201,,,,,,,,,960
7,Thrift City,A0317,Lauren Conrad Daisy Floral Knit Crocheted Top,$2.72 ,$2.94 ,1/5/2020,20201,,,,,,,,,961
1,Thrift City,A0318,Madewell Stripe 3/4 Sleeve Top Green Black,$2.92 ,$3.16 ,1/5/2020,20201,,,,,,,,,961
2,Thrift City,A0320,Lucky Brand Paisley Boho Hippie Gypsy V-neck Tassel,$4.94 ,$5.35 ,4/3/2021,20214,,,,,,,,,507
1,Thrift City,A0328,Anthropologie Maeve Linden Polka Dot Dolman Sleeve,$4.94 ,$5.35 ,1/7/2020,20201,Wearing,,,,,,,,959
1,Goodwill Austin Hwy,A0336,Cabi Cross Zip Moto Sweater Jacket,$4.79 ,$5.19 ,1/8/2020,20201,,,,,,,,,958
1,Goodwill Austin Hwy,A0337,Cabi Double Button Blazer Peacoat Sweater Jacket,$6.49 ,$7.03 ,1/8/2020,20201,,,,,,,,,958
3,Texas Thrift Store,A0354,J. Jill Wearever Collection Red Waffle Tunic Dress Blouse,$5.98 ,$6.47 ,1/11/2020,20201,Poshmark,$10.00 ,$2.95 ,$0.00 ,$7.05 ,$0.58 ,3/10/2022,20223,789
13,Texas Thrift Store,A0358,Hype Rolled Hem Denim Shorts Size 5,$0.99 ,$1.07 ,1/9/2020,20201,,,,,,,,,957
10-Sep,Texas Thrift Store,A0363,American Eagle Skinny Stretch Jeans Size 00 Short,$0.99 ,$1.07 ,1/13/2020,20201,Poshmark,$11.67 ,$2.33 ,$0.82 ,$8.51 ,$7.44 ,1/16/2022,20221,734
5,Goodwill Bins N ATX,A0381,Vintage Striped Chunky Knit Grandpa Sweater L,$0.84 ,$0.91 ,1/15/2020,20201,Poshmark,$25.00 ,$5.00 ,$0.00 ,$20.00 ,$19.09 ,2/5/2022,20222,752
7,Goodwill Bins N ATX,A0383,The Limited Embellished T Shirt Sheer XS,$0.84 ,$0.91 ,1/15/2020,20201,,,,,,,,,951
2,Goodwill Bins N ATX,A0385,Lucky Brand Boho Hippie Gypsy V Neck Peasant M,$0.84 ,$0.91 ,1/15/2020,20201,,,,,,,,,951
7,Goodwill Bins N ATX,A0395,BCBGeneration Paisley Wrap Tie Crop Festival Hippie Boho XXS,$0.84 ,$0.91 ,1/16/2020,20201,,,,,,,,,950
14,Thrift City,A0411,Mark Cross Body Boho Hippie Brown Square Cut Out Purse,$2.00 ,$2.17 ,1/19/2020,20201,Poshmark,$15.00 ,$3.00 ,$1.72 ,$10.28 ,$8.12 ,4/13/2022,20224,815
1,Thrift City,A0414,Umgee Floral Bell Sleeve Top Boho S,$2.00 ,$2.17 ,1/21/2020,20201,Poshmark,$24.00 ,$4.80 ,$1.28 ,$17.92 ,$15.76 ,4/28/2022,20224,828
12-Nov,Thrift City,A0417,LuLaRoe Julia Aztec Dress XS NWT,$2.00 ,$2.17 ,1/21/2020,20201,,,,,,,,,945
12,Goodwill Bins S ATX,A0422,Everly Sleeveless Printed Sun Dress Small,$0.91 ,$0.98 ,6/22/2022,20226,,,,,,,,,62
12-Nov,Goodwill Bins S ATX,A0432,Calessa Boho Paisley Hippie Gypsy Maxi Dress S,$0.91 ,$0.98 ,1/29/2020,20201,Poshmark,$27.00 ,$5.40 ,$1.72 ,$19.88 ,$18.90 ,5/22/2022,20225,844
1,Goodwill Bins S ATX,A0434,Merona Color Block Scoop Neck Pullover Knit Sweater M,$0.91 ,$0.98 ,1/28/2020,20201,,,,,,,,,938
1,Goodwill Bins S ATX,A0438,Express Aztec Tribal Sequin Multi Color Tank XS,$0.91 ,$0.98 ,1/28/2020,20201,Poshmark,$24.00 ,$4.80 ,$1.28 ,$17.92 ,$16.94 ,4/28/2022,20224,821
1,Goodwill Bins S ATX,A0440,Pleione Chambray Peasant Tassel Top S,$0.91 ,$0.98 ,1/25/2020,20201,,,,,,,,,941
12-Nov,Goodwill Bins S ATX,A0441,Michael Kors Shift Dress Toggle 3/4 Sleeve M,$0.91 ,$0.98 ,1/29/2020,20201,,,,,,,,,937
12-Nov,Goodwill Bins S ATX,A0446,LuLaRoe Orange Pocket Fit and Flare T Dress XXS,$0.91 ,$0.98 ,1/30/2020,20201,,,,,,,,,936
1,Goodwill Bins S ATX,A0454,Do Everything in Love Kimono Fringe Shawl Boho OS,$0.91 ,$0.98 ,1/26/2020,20201,,,,,,,,,940
1,Goodwill Bins S ATX,A0459,Halogen Plus Size Double V Neck Black White Rope 1X,$0.91 ,$0.98 ,1/25/2020,20201,,,,,,,,,941
N/A,Goodwill Bins S ATX,A0462,Kenneth Cole Kassie Slip On Sneakers Size 9M,$0.91 ,$0.98 ,1/24/2020,20201,Poshmark,$18.00 ,$3.60 ,$2.46 ,$11.94 ,$10.96 ,1/31/2022,20221,738
N/A,Goodwill Bins S ATX,A0466,Restricted Gladiator Sandal Zipper Low Heel 7.5,$0.91 ,$0.98 ,1/24/2020,20201,Poshmark,$18.00 ,$3.60 ,$0.00 ,$14.40 ,$13.42 ,5/4/2022,20225,831
14,Goodwill Bins S ATX,A0475,3/$20 Black & White Tie Dye Print Fringe Tassel Scarf,$0.91 ,$0.98 ,1/24/2020,20201,,,,,,,,,942
7,Clothes Mentor Selma,A0480,CAbi Sheer Dolman Ombre Fade Out Blouse XS,$1.20 ,$1.30 ,1/31/2020,20201,,,,,,,,,935
12-Nov,Clothes Mentor Selma,A0482,Love by Chelsey Boho Aztec Tunic M,$1.10 ,$1.19 ,1/31/2020,20201,,,,,,,,,935
1,Clothes Mentor Selma,A0485,Altar'd State Boho Lace Paisely Long Sleeve Top S,$1.00 ,$1.08 ,2/1/2020,20202,,,,,,,,,934
7,Clothes Mentor Selma,A0489,Nike Dri Fit Racer Back Tank S,$1.10 ,$1.19 ,2/12/2020,20202,,,,,,,,,923
7,Goodwill Bins SAT,A0493,The Nike Tee Athletic Cut Racerback Tank M,$0.99 ,$1.07 ,2/6/2020,20202,Poshmark,$13.34 ,$2.66 ,$0.00 ,$10.68 ,$9.61 ,7/29/2022,20227,904
14,Goodwill Bins SAT,A0501,3/$20 Scarf white with black print design semi-sheer,$0.99 ,$1.07 ,2/7/2020,20202,,,,,,,,,928
N/A,Goodwill Bins S ATX,A0506,Amanda Smith Crushed Velvet Floral Fleur Boot 7.5,$0.99 ,$1.07 ,2/6/2020,20202,Poshmark,$27.00 ,$5.40 ,$1.72 ,$19.88 ,$18.81 ,5/31/2022,20225,845
N/A,Goodwill Bins S ATX,A0508,DVF Black Suede Pointed Toe Heel 6.5,$0.99 ,$1.07 ,2/4/2020,20202,,,,,,,,,931
1,Goodwill Bins S ATX,A0521,Lucky Brand Boho Hippie Gypsy Lace Tank S,$0.91 ,$0.99 ,2/13/2020,20202,,,,,,,,,922
14,Goodwill Bins S ATX,A0532,Vintage Leather High Waist Pencil Skirt 7/8,$0.91 ,$0.99 ,2/28/2020,20202,Defective,$20.00 ,$2.00 ,$0.00 ,$18.00 ,$17.01 ,1/19/2022,20221,691
1,Goodwill NW Loop 410,A0552,Athleta Red Cap Sleeve Scoop Neck Top XS,$4.79 ,$5.19 ,2/24/2020,20202,,,,,,,,,911
10-Sep,Texas Thrift Store,A0564,Kut from the Kloth Natalie High Rise Bootcut Jeans 10S,$3.49 ,$3.78 ,2/28/2020,20202,,,,,,,,,907
14,Goodwill NW Loop 410,A0566,$3/20 Coral Lace Infinity Scarf,$1.00 ,$1.08 ,2/12/2020,20202,,,,,,,,,923
14,Goodwill NW Loop 410,A0567,$3/20 Rainbow Fringe Multi Color Metallic Scarf,$1.00 ,$1.08 ,2/12/2020,20202,,,,,,,,,923
1,Goodwill NW Loop 410,A0570,Zara Trafaluc Floral Sheer Top V Neck Short Sleeve Faux Wrap S,$4.79 ,$5.19 ,2/13/2020,20202,,,,,,,,,922
12-Nov,Goodwill NW Loop 410,A0582,Anthropologie Holding Horses Aztec Long Sleeve Dress 4,$2.40 ,$2.59 ,2/19/2020,20202,,,,,,,,,916
12-Nov,Goodwill NW Loop 410,A0584,Francesca's Boho Scoop Neck Dress S,$3.25 ,$3.51 ,2/19/2020,20202,,,,,,,,,916
7,Closet,A0586,GAP Italian Merino Wool Sweater V-Neck S,$0.00 ,$0.00 ,2/26/2020,20202,,,,,,,,,909
7,Closet,A0589,Liz Claiborne Floral Crew Neck Blouse S,$0.00 ,$0.00 ,2/26/2020,20202,,,,,,,,,909
1,Closet,A0598,Express Racer Back Gold Sequin Tank S,$0.00 ,$0.00 ,2/25/2020,20202,,,,,,,,,910
1,Closet,A0601,Express racer Back White Sequin Tank XS,$0.00 ,$0.00 ,2/25/2020,20202,,,,,,,,,910
N/A,Texas Thrift Store,A0625,Lucky Brand Embany Tan Quilted Ballet Flat 6,$3.49 ,$3.77 ,2/27/2020,20202,,,,,,,,,908
10-Sep,Closet,A0648,GAP Premium Super Skinny Black Jeans 2,$0.00 ,$0.00 ,2/29/2020,20202,,,,,,,,,906
1,Goodwill Kyle,A0653,Chaser Maroon Henley Thermal Long Sleeve S,$3.50 ,$3.78 ,3/4/2020,20203,,,,,,,,,902
,Goodwill Bins N ATX,A0658,Altar'd State Espadrilles Platform Wedge 8.5,$0.85 ,$0.92 ,Damaged,,Damaged,,,,,,5/23/2022,20225,
7,Goodwill Bins N ATX,A0668,Nike DriFit Pink V-Neck Short Sleeve T-Shirt XS,$0.85 ,$0.92 ,3/5/2020,20203,,,,,,,,,901
3,Goodwill Bins N ATX,A0670,NASA Classic Graphic T Shirt Blue Unisex S,$0.85 ,$0.92 ,3/5/2020,20203,,,,,,,,,901
7,Goodwill Bins N ATX,A0677,GB Boho Lace Peplum Long Sleeve Blouse M,$0.85 ,$0.92 ,3/6/2020,20203,,,,,,,,,900
4,Goodwill Bins N ATX,A0682,Embroidered Floral V Neck T Shirt S,$0.85 ,$0.92 ,4/2/2021,20214,,,,,,,,,508
5,Goodwill Bins N ATX,A0689,PureJill Open Front Tie Waist Cardigan M Petite,$0.85 ,$0.92 ,7/25/2020,20207,,,,,,,,,759
3,Goodwill Bins N ATX,A0690,Talori Striped Draped Long Sleeve Blouse Wrap M,$0.85 ,$0.92 ,7/24/2020,20207,,,,,,,,,760
1,Goodwill Bins N ATX,A0692,Paper Crane Cowl Neck Waffle Knit Cross Front Top M,$0.85 ,$0.92 ,3/3/2020,20203,,,,,,,,,903
WEARING,Goodwill Bins N ATX,A0694,J. Crew Charcoal Crew Neck Sweatshirt S,$0.85 ,$0.92 ,WEARING,,,,,,,,,,
7,Goodwill Bins N ATX,A0695,aerie floral lace boho keyhole short sleeve top S,$0.85 ,$0.92 ,3/3/2020,20203,,,,,,,,,903
2,Goodwill Bins N ATX,A0703,Banana Republic Striped Short Sleeve Tie Front Blouse L,$0.85 ,$0.92 ,3/4/2020,20203,Poshmark,$13.00 ,$2.95 ,$0.00 ,$10.05 ,$9.13 ,1/17/2022,20221,684
N/A,Texas Thrift Store,A0705,Sam Edelman Blue Gigi Thong Sandal 7.5,$2.49 ,$2.70 ,3/30/2020,20203,,,,,,,,,876
12-Nov,Goodwill Bins N ATX,A0710,Angie Boho Paisley Hippie Gypsy Dress S,$0.85 ,$0.92 ,3/19/2020,20203,,,,,,,,,887
14,Closet,A0721,You're The Bomb Lavender Bath Bombs,$0.00 ,$0.00 ,3/30/2020,20203,,,,,,,,,876
7,Garage Sale,A0729,Express Sexy Basic Sequin Grey Tank M,$0.50 ,$0.50 ,3/7/2020,20203,Poshmark,$15.00 ,$3.00 ,$2.46 ,$9.54 ,$9.04 ,2/20/2022,20222,715
3,Garage Sale,A0734,Maison Jules Knit Striped High / Low Sweater M,$0.50 ,$0.50 ,7/18/2020,20207,,,,,,,,,766
12-Nov,Garage Sale,A0736,Cynthia Rowley Embellished Shift Dress M,$0.50 ,$0.50 ,3/8/2020,20203,,,,,,,,,898
1,Garage Sale,A0739,Cynthia Rowley Abstract Printed Tank Plus Size 1X,$3.00 ,$3.00 ,3/8/2020,20203,,,,,,,,,898
N/A,Goodwill N Loop 1604,A0743,Stubbs & Wootton Black Velvet Maltese Cross 5.5,$6.99 ,$7.57 ,3/30/2020,20203,Poshmark,$60.00 ,$12.00 ,$0.00 ,$48.00 ,$40.43 ,2/6/2022,20222,678
N/A,Texas Thrift Store,A0750,Lucky Brand Kyndra Espadrille Wedge Open Toe Sandal 8,$2.99 ,$3.24 ,3/31/2020,20203,Poshmark,$26.00 ,$5.20 ,$1.72 ,$19.08 ,$15.84 ,2/24/2022,20222,695
7,Texas Thrift Store,A0755,Knox Rose Floral Paisley Ruffle Boho Peasant Top XS,$2.99 ,$3.24 ,3/18/2020,20203,,,,,,,,,888
2,Texas Thrift Store,A0758,CAbi Arabesque Cami Boho Tank S,$1.49 ,$1.61 ,3/17/2020,20203,Poshmark,$24.00 ,$4.80 ,$1.28 ,$17.92 ,$16.31 ,4/28/2022,20224,772
2,Texas Thrift Store,A0761,Minkpink Floral Tank Mesh V-Neck XS,$0.99 ,$1.07 ,3/17/2020,20203,,,,,,,,,889
2,Texas Thrift Store,A0763,Skies Are Blue StitchFix NWT Paisley Muller Ruffle Detail Blouse Sleeveless SP,$3.98 ,$4.31 ,3/13/2020,20203,,,,,,,,,893
1,Texas Thrift Store,A0766,CAbi Ruffle Semi-Sheer Sleeveless Tunic Tank XS,$3.98 ,$4.31 ,3/16/2020,20203,Poshmark,$24.00 ,$4.80 ,$1.28 ,$17.92 ,$13.61 ,4/28/2022,20224,773
2,Texas Thrift Store,A0770,Painted Threads Striped Knit Kimono Cardigan S,$2.49 ,$2.70 ,3/16/2020,20203,,,,,,,,,890
WEARING,Texas Thrift Store,A0772,ZARA Basic Collection Charcoal Tank S,$2.09 ,$2.26 ,WEARING,,,,,,,,,,
7,Texas Thrift Store,A0774,PINK Victoria's Secret Lace Long Sleeve Top Mint Green M,$3.49 ,$3.78 ,3/16/2020,20203,,,,,,,,,890
2,Texas Thrift Store,A0776,Umgee Plaid Button Down Lace Hem M,$2.49 ,$2.70 ,3/16/2020,20203,Poshmark,$26.00 ,$5.20 ,$2.46 ,$18.34 ,$15.64 ,2/6/2022,20222,692
2,Texas Thrift Store,A0778,Joie Eniko C Embroidered Tassel 100% Silk Tank Top XS,$2.49 ,$2.70 ,3/16/2020,20203,,,,,,,,,890
12-Nov,Texas Thrift Store,A0779,Francesca's Pale Pink High Neck Fit & Flare Dress S,$4.99 ,$5.40 ,3/14/2020,20203,,,,,,,,,892
1,Texas Thrift Store,A0784,Altar'd State NWT Lace Ombre Tank S,$3.49 ,$3.77 ,3/14/2020,20203,,,,,,,,,892
2,Texas Thrift Store,A0785,Crescent NWT Lace Back Button Down Tank S,$3.49 ,$3.77 ,3/14/2020,20203,,,,,,,,,892
7,Texas Thrift Store,A0786,J. Crew Horizontal Stripe 3/4 Sleeve Top M,$1.49 ,$1.61 ,3/13/2020,20203,,,,,,,,,893
2,Texas Thrift Store,A0805,CAbi Clover Dots Cuffed Silk Button Down S,$1.99 ,$2.15 ,3/24/2020,20203,,,,,,,,,882
2,Texas Thrift Store,A0806,Anthro Holding Horses Navy Light Weight Tunic S,$2.49 ,$2.70 ,3/24/2020,20203,,,,,,,,,882
2,Texas Thrift Store,A0810,Lucky Brand T Shirt Crew Neck S,$2.49 ,$2.70 ,3/23/2020,20203,,,,,,,,,883
12-Nov,Texas Thrift Store,A0811,The North Face Women's Tunic Dress Shirt M,$3.49 ,$3.78 ,3/23/2020,20203,,,,,,,,,883
2,Texas Thrift Store,A0814,J. Crew Tank Top Crochet Floral Lace Front M,$2.49 ,$2.70 ,3/24/2020,20203,Poshmark,$13.33 ,$2.67 ,$0.00 ,$10.66 ,$7.96 ,7/29/2022,20227,857
2,Texas Thrift Store,A0820,Everly Tank Abstract Coral M,$1.99 ,$2.15 ,3/28/2020,20203,,,,,,,,,878
2,Texas Thrift Store,A0822,Pure Barre 20 in 31 Tank L,$0.99 ,$1.07 ,3/28/2020,20203,,,,,,,,,878
,Texas Thrift Store,A0823,Tally Weijl Elephant Boho Festival Tank XS,$0.99 ,$1.07 ,Unlisted,,,,,,,,,,
2,Texas Thrift Store,A0833,CAbi Flutter Camo Tank Top Green & Brown Stripe M,$1.99 ,$2.15 ,4/5/2020,20204,Poshmark,$24.00 ,$4.80 ,$0.00 ,$19.20 ,$17.05 ,1/6/2022,20221,641
2,Texas Thrift Store,A0834,LUSH Racer Back Green Floral Tank S,$1.99 ,$2.15 ,4/4/2020,20204,,,,,,,,,871
2,Texas Thrift Store,A0836,Francesca's Alya Floral Boho Tank S,$1.99 ,$2.15 ,4/2/2020,20204,,,,,,,,,873
2,Texas Thrift Store,A0838,AEO Beaded Southwestern Tribal Tank S,$1.49 ,$1.61 ,4/9/2020,20204,,,,,,,,,866
12-Nov,Texas Thrift Store,A0839,Altar'd State Blue Lace Cut Out Dress XS,$2.99 ,$3.24 ,4/2/2020,20204,,,,,,,,,873
2,Texas Thrift Store,A0840,Athleta Coral Swing Tank XS,$0.99 ,$1.07 ,4/2/2020,20204,,,,,,,,,873
2,Texas Thrift Store,A0842,Pleione High Low Hem Sleeveless Blouse Dot Pattern XS,$2.49 ,$2.70 ,4/6/2020,20204,,,,,,,,,869
2,Texas Thrift Store,A0843,The Limited Chambray Sleeveless Button Down S,$1.49 ,$1.61 ,4/2/2020,20204,,,,,,,,,873
2,Texas Thrift Store,A0845,J. Crew Ruffle Front Tank M,$2.49 ,$2.70 ,4/6/2020,20204,,,,,,,,,869
2,Texas Thrift Store,A0851,Silence + Noise UO Red Aztec Racerback Tank XS,$1.99 ,$2.15 ,4/13/2020,20204,,,,,,,,,862
2,Texas Thrift Store,A0852,Zella All Day Waffle Knit Strappy Tank NWT S,$2.49 ,$2.70 ,4/13/2020,20204,,,,,,,,,862
2,Texas Thrift Store,A0854,Melrose and Market NWT Boho Tank S,$2.99 ,$3.24 ,4/13/2020,20204,,,,,,,,,862
2,Texas Thrift Store,A0855,Melrose and Market NWT Boho Tank XS,$2.99 ,$3.24 ,4/13/2020,20204,,,,,,,,,862
2,Texas Thrift Store,A0860,BCBGMaxAzria Coral Sleeveless High / Low Hem Tank XS,$2.49 ,$2.70 ,4/18/2020,20204,,,,,,,,,857
2,Texas Thrift Store,A0861,Adrianna Papell Icy Blue Embroidard V Neck Sharkbite Tank S,$4.99 ,$5.40 ,4/18/2020,20204,Poshmark,$10.00 ,$0.00 ,$0.00 ,$10.00 ,$4.60 ,3/26/2022,20223,707
2,Texas Thrift Store,A0862,Horny Toad Button Down Tank XS,$1.49 ,$1.61 ,4/17/2020,20204,,,,,,,,,858
7,Texas Thrift Store,A0863,Olive & Oak Semi Sheer Blue White Stripe Tank S,$2.49 ,$2.70 ,4/17/2020,20204,,,,,,,,,858
2,Texas Thrift Store,A0864,Market & Spruce Joney Lace Detail Knit Top NWT S,$2.99 ,$3.24 ,4/14/2020,20204,,,,,,,,,861
12-Nov,Texas Thrift Store,A0868,Michael Stars White Tassel Semi Sheer Shift Dress S,$2.99 ,$3.24 ,4/14/2020,20204,,,,,,,,,861
10-Sep,Closet,A0871,Nike Capri Dri Fit Crop High Waist M,$0.00 ,$16.00 ,3/16/2021,,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$0.00 ,3/24/2022,20223,373
14,Facebook Marketplace,A0880,Bar III Purple Romper Shorts V-Neck Pockets XL,$3.29 ,$3.29 ,5/11/2020,20205,,,,,,,,,834
3,Facebook Marketplace,A0882,Love Riche NWT Black Long Sleeve Tunic Blouse M,$3.29 ,$3.29 ,5/8/2020,20205,,,,,,,,,837
4,Facebook Marketplace,A0883,Deletta Anthro Corinthian Beaded Shoulder Boho Top M,$3.29 ,$3.29 ,5/5/2020,20205,,,,,,,,,840
10-Sep,Facebook Marketplace,A0886,Calvin Klein Dress Pant Charcoal 10,$3.29 ,$3.29 ,5/4/2020,20205,,,,,,,,,841
3,Facebook Marketplace,A0887,Abound Short Sleeve Knit Tunic T Pocket L,$3.29 ,$3.29 ,5/11/2020,20205,,,,,,,,,834
3,Facebook Marketplace,A0889,New York & Company Checkered Lace Blouse S,$3.29 ,$3.29 ,5/11/2020,20205,,,,,,,,,834
5,Facebook Marketplace,A0890,Lucy Active Zip Up Jacket M,$3.29 ,$3.29 ,5/4/2020,20205,,,,,,,,,841
WEARING,Facebook Marketplace,A0893,Old Navy Black Floral Flutter Sleeve Dress M Petite,$3.29 ,$3.29 ,WEARING,,,,,,,,,,
3,Facebook Marketplace,A0897,Gears of War 3 Rare Graphic T Shirt S,$0.54 ,$0.54 ,5/5/2020,20205,,,,,,,,,840
6,Clothes Mentor Selma,A0903,Patrons of Peace Boho Paisely Tank L,$2.46 ,$2.66 ,7/26/2020,20207,Poshmark,$21.00 ,$4.20 ,$1.72 ,$15.08 ,$12.42 ,4/8/2022,20224,621
2,Clothes Mentor Selma,A0904,Umgee Patchwork Boho Floral Lace Tunic Tank S,$2.46 ,$2.66 ,7/26/2020,20207,,,,,,,,,758
3,Clothes Mentor Selma,A0907,Modern Lux Cactus Southwestern Desert Graphic T L,$3.16 ,$3.42 ,5/6/2020,20205,,,,,,,,,839
12-Nov,Clothes Mentor Selma,A0910,J. Jill Double Layer Tunic Top / Mini Dress Paisley M,$6.67 ,$7.22 ,5/12/2020,20205,Poshmark,$35.00 ,$7.00 ,$0.00 ,$28.00 ,$20.78 ,2/28/2022,20222,657
12-Nov,Clothes Mentor Selma,A0913,Lilly Pulitzer Edna Dress Tile Wave XS NWOT,$10.86 ,$11.76 ,8/24/2020,20208,,,,,,,,,729
3,Clothes Mentor Selma,A0914,Zara Floral Lace Embroidered T-Shirt Blouse M,$5.26 ,$5.69 ,5/8/2020,20205,,,,,,,,,837
3,Clothes Mentor Selma,A0916,Fifth Sun Making Pour Decisions Graphic Tank M,$1.06 ,$1.15 ,5/12/2020,20205,Poshmark,$17.00 ,$3.40 ,$1.72 ,$11.88 ,$10.73 ,6/7/2022,20226,756
2,Clothes Mentor Selma,A0917,Umgee Lace Boho Tassel Dress M,$1.76 ,$1.91 ,5/12/2020,20205,,,,,,,,,833
3,Clothes Mentor Selma,A0918,Umgee Lace Mock Neck Coral Blouse M,$4.56 ,$4.94 ,5/13/2020,20205,Poshmark,$34.00 ,$6.80 ,$0.00 ,$27.20 ,$22.26 ,5/9/2022,20225,726
,Clothes Mentor Selma,A0919,A'reve Anthro Lace Tulle Tunic Blouse Sleeveless M,$5.96 ,$6.45 ,5/11/2020,20205,,,,,,,,,834
2,Clothes Mentor Selma,A0921,Umgee Dolman Sleeve Boho Oversize Blouse M,$5.26 ,$5.69 ,5/13/2020,20205,,,,,,,,,832
10-Sep,Poshmark,A0929,AEO Straight Leg Stretch Dark Wash Jeans 0 Short,$6.49 ,$6.49 ,5/23/2020,20205,,,,,,,,,822
N/A,Poshmark,A0933,ALDO Black Ankle Bootie Black Rhinestone 7.5,$6.49 ,$6.49 ,6/27/2020,20206,,,,,,,,,787
5,ThredUp,A0935,Pink Rose Boho Floral Blouse High/Low Hem XS,$5.40 ,$5.85 ,5/17/2020,20205,Poshmark,$17.00 ,$3.40 ,$1.72 ,$11.88 ,$6.03 ,6/19/2022,20226,763
